pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,100.00,0,556.79,370.21,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 10:5~10,60,99,691.237189549346,684.3248176538525,57.00425731056591,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:10~15,60,99,678.6789993698285,671.8922093761302,55.96862104103164,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:15~20,60,99,666.6448877890497,659.9784389111592,54.97620396129956,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:20~25,60,99,657.3096569327513,650.7365603634238,54.2063554782732,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:25~30,60,99,650.0758841400583,643.5751252986577,53.609807937378186,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:30~35,60,98,643.1794909509441,636.7476960414347,53.041083080251504,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:35~40,60,98,667.6360203652421,660.9596601615897,55.05793969146042,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:40~45,60,98,744.1336233565888,736.6922871230229,61.36646751734781,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:45~50,60,98,783.3312249060588,775.4979126569982,64.59897612432795,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:50~55,60,98,753.1079361876469,745.5768568257705,62.106552173586685,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 10:55~60,60,98,744.5035752470211,737.0585394945509,61.39697633989609,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:0~5,60,98,774.785083881668,767.0372330428513,63.894201512469515,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:5~10,60,98,790.9687685151792,783.0590808300275,65.22882143314129,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:10~15,60,99,792.3056533187411,784.3825967855536,65.33907031223661,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:15~20,60,99,803.1834968724049,795.1516619036807,66.23613343657661,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:20~25,60,99,837.5267362051862,829.1514688431344,69.0683173546331,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:25~30,60,99,863.5260471920707,854.89078672015,71.21240253378849,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:30~35,60,99,878.6930141576522,869.9060840160757,72.46317679853911,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:35~40,60,99,892.8459058305547,883.9174467722491,73.63032331612835,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:40~45,60,100,897.1977366278123,888.2257592615341,73.9892057464858,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:45~50,60,100,899.556189812086,890.5606279139652,74.1837003052333,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:50~55,60,100,898.9732420792409,889.9835096584485,74.13562635454876,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 11:55~60,60,100,912.9117175100765,903.7826003349758,75.28509060790348,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:0~5,60,100,950.7879005506364,941.2800215451299,78.40862579470932,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:5~10,60,100,974.1445457349488,964.4031002775993,80.33477825312401,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:10~15,60,100,976.6435090666263,966.87707397596,80.54086026219747,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:15~20,60,100,977.9536899184681,968.1741530192834,80.6489069465063,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:20~25,60,100,979.166644397236,969.3749779532636,80.74893566350686,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:25~30,60,100,980.2419269844092,970.439507714565,80.83761099262327,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:30~35,60,100,979.5383254446466,969.7429421902,80.77958708444366,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:35~40,60,100,979.5396403809392,969.7442439771299,80.77969552329492,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:40~45,60,100,978.7251496625732,968.9378981659476,80.71252691722343,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:45~50,60,100,976.7208521867582,966.9536436648905,80.54723851728538,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:50~55,60,100,974.4926790112283,964.7477522211159,80.36348776001896,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 12:55~60,60,100,972.0332756896411,962.3129429327448,80.16066814629764,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:0~5,60,100,969.5993592439177,959.9033656514785,79.95995035876815,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:5~10,60,100,966.676283553023,957.0095207174929,79.71889307576716,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:10~15,60,100,960.1615107578777,950.5598956502989,79.1816393076699,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:15~20,60,100,956.5569253050794,946.9913560520286,78.88437995913398,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:20~25,60,100,952.7504614018142,943.222956787796,78.5704723004234,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:25~30,60,100,947.7664855290602,938.2888206737695,78.159458762125,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:30~35,60,100,941.606792020878,932.1907241006693,77.65148731758575,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:35~40,60,100,932.4439255975708,923.1194863415952,76.89585321225488,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:40~45,60,100,926.6023612164249,917.3363376042607,76.41411692243491,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:45~50,60,100,919.8837201372492,910.6848829358767,75.86005074855852,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:50~55,60,100,913.6313053493056,904.4949922958126,75.34443285824119,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 13:55~60,60,100,905.3187214243856,896.2655342101418,74.65891899970481,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 14:0~5,60,100,892.7755180562593,883.8477628756968,73.62451864754554,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 14:5~10,60,100,884.8504795608727,876.0019747652639,72.97096449794648,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 14:10~15,60,100,875.7848852084703,867.0270363563857,72.22335212848692,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 14:15~20,60,100,867.7272231715917,859.0499509398758,71.55886091329165,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 14:20~25,60,100,851.4859053831399,842.9710463293084,70.21948815923139,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 14:25~30,60,100,842.680564106216,834.2537584651539,69.49333808014731,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 14:30~35,60,100,958.9954253006426,913.287045117264,76.07681085826809,0.0,0.0,0.0,0.0,0.0,-120.3947531012405
Day1 14:35~40,0,100,958.7464423969393,949.15897797297,79.0649428651484,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:40~45,0,100,954.3454172618682,944.8019630892496,78.70200352533449,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:45~50,0,100,947.998090273467,938.5181093707322,78.178558510582,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:50~55,0,100,941.9016418387258,932.4826254203385,77.6758026975142,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:55~60,0,100,935.565332275058,926.2096789523074,77.1532662567272,0.0,0.0,0.0,0.0,0.0,0.0
Day1 15:0~5,0,99,756.1048076281941,748.5437595519121,62.35369517067428,0.0,71.58086628773333,859.3141211012404,517.5,171.419368,120.3947531012405
Day1 15:5~10,60,99,742.1347521355946,734.7134046142386,61.201626604366076,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:10~15,60,99,726.7060942944703,719.4390333515256,59.92927147818208,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:15~20,60,99,711.5272128728567,704.4119407441282,58.677514663985875,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:20~25,60,99,686.428385830314,679.5641019720109,56.60768969426851,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:25~30,60,99,670.4940791737474,663.7891383820099,55.29363522722143,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:30~35,60,99,653.712484432688,647.1753595883612,53.90970745371049,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:35~40,60,99,637.2088112451569,630.8367231327053,52.54869903695435,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:40~45,60,98,619.2630351563388,613.0704048047754,51.068764720237795,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:45~50,60,98,593.2017651409053,587.2697474894962,48.919569965875034,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:50~55,60,98,574.7570511719017,569.0094806601827,47.39848973899322,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 15:55~60,60,98,552.896483329756,547.3675184964585,45.59571429075499,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:0~5,60,97,523.3345657736634,518.1012201159267,43.15783163565669,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:5~10,60,97,504.4298321621619,499.3855338405403,41.598814968917004,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:10~15,60,96,488.8463162196852,483.9578530574883,40.31368915968878,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:15~20,60,96,475.5080816526761,470.75300083614934,39.21372496965124,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:20~25,60,96,456.77444605916895,452.20670159857724,37.66881824316148,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:25~30,60,95,438.45957830609603,434.07498252303503,36.15844604416882,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:30~35,60,95,420.18472993793023,415.98288263855096,34.65137412379129,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:35~40,60,94,392.8725756801776,388.94384992337575,32.3990226986172,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:40~45,60,93,375.13904356455186,371.3876531289063,30.936591505637896,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:45~50,60,93,346.4129492872125,342.94881979434035,28.56763668886855,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:50~55,60,92,307.34024635307355,304.2668438895428,25.345428095998916,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 16:55~60,60,91,278.55554955942944,275.76999406383516,22.971640505517467,0.0,61.551983354399994,738.919368,517.5,171.419368,0.0
Day1 17:0~5,60,92,447.0171213135813,406.42852417007333,33.855496063367106,0.0,0.0,0.0,0.0,0.0,-120.3947531012405
TAKES MORE THAN 6 DAYS,0,93,398.950265255938,394.9607626033786,32.90023152486144,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,93,259.9164439298665,257.31727949056784,21.4345293815643,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,93,217.4586886076131,215.28410172153698,17.93316567340403,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,94,322.9730266763999,319.7432964096359,26.63461659092267,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,94,334.6637363635958,331.3170989999598,27.59871434669665,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,95,205.05408124012226,203.003540427721,16.91019491762916,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,95,121.87176526535569,120.65304761270215,10.050398866138089,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,95,106.36836207905385,105.30467845826331,8.771879715573334,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,95,94.76454076133889,93.8168953537255,7.814947382965334,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,95,89.90626688743588,89.00720421856151,7.414300111406174,0.0,0.0,0.0,0.0,0.0,0.0
TAKES MORE THAN 6 DAYS,0,95,79.27219230935206,78.47947038625854,6.537339883175337,0.0,0.0,0.0,0.0,0.0,0.0
