pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
22.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,97.62,0,533.10,354.45,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 10:5~10,60,99,661.8228410578845,655.2046126473057,54.57854423352056,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:10~15,60,98,649.7990419498359,643.3010515303375,53.58697759247712,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:15~20,60,98,638.2770202235582,631.8942500213226,52.63679102677617,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:20~25,60,97,629.3390332334853,623.0456429011505,51.899702053665834,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:25~30,60,97,622.4130805596304,616.1889497540341,51.328539514511036,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:30~35,60,96,615.8101509104785,609.6520494013737,50.78401571513443,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:35~40,60,96,639.2259769454446,632.8337171759902,52.71504864075998,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:40~45,60,96,712.4683627882234,705.3436791603411,58.75512847405641,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:45~50,60,96,749.997981293035,742.4980014801046,61.85008352329271,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:50~55,60,95,721.060789966896,713.850182067227,59.46372016620001,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 10:55~60,60,95,712.8225720450203,705.69434632457,58.78433904883668,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:0~5,60,95,741.8155058441503,734.3973507857088,61.17529932044954,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:5~10,60,94,757.3105230464482,749.7374178159837,62.45312690407144,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:10~15,60,94,758.5905191349649,751.0046139436153,62.55868434150315,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:15~20,60,94,769.0054757288983,761.3154209716093,63.41757456693506,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:20~25,60,94,801.8873006219869,793.868427615767,66.1292400203934,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:25~30,60,94,826.780257949855,818.5124553703564,68.18208753235069,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:30~35,60,94,841.3018220658374,832.8888038451792,69.37963736030342,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:35~40,60,94,854.8524630292545,846.3039383989619,70.49711806863353,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:40~45,60,94,859.0191095372672,850.4289184418946,70.84072890620982,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:45~50,60,94,861.2772030115718,852.6644309814561,71.0269471007553,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:50~55,60,94,860.7190615652308,852.1118709495785,70.98091885009988,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 11:55~60,60,94,874.0644103819883,865.3237662781684,72.08146973097142,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:0~5,60,94,910.328840952737,901.2255525432096,75.07208852684936,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:5~10,60,94,932.6915863419723,923.3646704785526,76.91627705086343,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:10~15,60,94,935.084210808472,925.7333687003872,77.11358961274226,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:15~20,60,94,936.3386392836397,926.9752528908034,77.21703856580392,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:20~25,60,94,937.4999786782048,928.1249788914228,77.31281074165551,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:25~30,60,94,938.5295045595409,929.1442095139455,77.39771265251166,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:30~35,60,94,937.8558435108318,928.4772850757234,77.34215784680777,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:35~40,60,94,937.8571024923887,928.4785314674647,77.34226167123981,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:40~45,60,94,937.0772709535275,927.7064982439923,77.27795130372456,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:45~50,60,94,935.1582627320025,925.8066801046825,77.11969645272005,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:50~55,60,94,933.0249054362824,923.6946563819196,76.9437648766139,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 12:55~60,60,94,930.6701575751883,921.3634559994365,76.74957588475306,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:0~5,60,94,928.339812042049,919.0564139216284,76.55739927967164,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:5~10,60,95,925.5411225507669,916.2857113252592,76.32659975339409,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:10~15,60,95,919.303574129883,910.1105383885844,75.81220784776907,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:15~20,60,95,915.8523752920975,906.6938515391765,75.5275978332134,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:20~25,60,95,912.2078885762052,903.085809690443,75.2270479472139,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:25~30,60,95,907.4359967831429,898.3616368153114,74.83352434671544,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:30~35,60,95,901.53841789233,892.5230337134067,74.34716870832678,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:35~40,60,95,892.7654606785253,883.8378060717401,73.62368924577595,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:40~45,60,95,887.1724735050879,878.300748770037,73.16245237254408,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:45~50,60,95,880.7397320463025,871.9323347258395,72.63196348266243,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:50~55,60,95,874.7533774621012,866.00584368748,72.13828677916709,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 13:55~60,60,95,866.7945205127096,858.1265753075825,71.48194372312162,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 14:0~5,60,95,854.7850704793973,846.2372197746033,70.49156040722445,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 14:5~10,60,95,847.1972676646654,838.7252949880186,69.86581707250195,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 14:10~15,60,94,838.5174432847057,830.1322688518586,69.15001799535982,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 14:15~20,60,94,830.8026604834389,822.4946338786045,68.51380300208776,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 14:20~25,60,94,815.2524626008786,807.0999379748699,67.23142483330666,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 14:25~30,60,94,806.8218166974409,798.7535985304665,66.53617475758786,0.0,73.2777145184,879.6844480000001,621.0,208.684448,0.0
Day1 14:30~35,60,96,918.1871093304027,865.0383929389795,72.05769813181699,0.0,0.0,0.0,0.0,0.0,-146.55615099373082
Day1 14:35~40,0,97,917.9487214438782,908.7692342294395,75.7004772113123,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:40~45,0,99,913.7349739741292,904.5976242343879,75.35298209872451,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:45~50,0,100,907.657746006511,898.5811685464461,74.85181133991895,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:50~55,0,100,901.8207209094185,892.8025137003243,74.37044939123702,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:55~60,0,100,895.7540415399493,886.7965011245499,73.870148543675,0.0,0.0,0.0,0.0,0.0,0.0
Day1 15:0~5,0,99,723.9301349631646,716.690833613533,59.700346440007294,0.0,85.48584189617777,1026.2405989937308,621.0,208.684448,146.55615099373082
