pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W)
21.00,false,73.07,37.9,5,Day5 16:15~16:20,32.96,0,423.08,344.81
22.50,false,73.94,37.7,5,Day5 16:15~16:20,31.94,0,452.89,369.10
