air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
38.4,134.4,522.8,529,41,87,10.22 05:35,10.22 15:05
38.6,204,519.2,589.2,42,87.2,10.22 05:40,10.22 15:10
38.6,216.4,584.4,641.6,43,88,10.22 05:45,10.22 15:15
38.6,165.8,599.2,593.6,44.8,88.2,10.22 05:50,10.22 15:20
38.4,121.2,622,555.6,46,88.2,10.22 05:55,10.22 15:25
38.2,115.4,638.8,552,47,89,10.22 06:00,10.22 15:30
38.2,117.6,633,540.4,48,89.2,10.22 06:05,10.22 15:35
38.2,152.6,497.6,477.4,49,90,10.22 06:10,10.22 15:40
38,111.4,490.4,423.4,50,90,10.22 06:15,10.22 15:45
38,131,485.6,431.8,52,90.2,10.22 06:20,10.22 15:50
37.6,134.8,502,437.8,53,91,10.22 06:25,10.22 15:55
37.6,133.8,475.2,412.6,54,91,10.22 06:30,10.22 16:00
37.6,119.8,470,387.4,55,91.2,10.22 06:35,10.22 16:05
37.6,98,464.8,354.4,56,92,10.22 06:40,10.22 16:10
37.2,80.4,459,325.8,58,92,10.22 06:45,10.22 16:15
37.2,75.8,453,310.2,59,92.2,10.22 06:50,10.22 16:20
37.2,72.8,446.6,295.6,60,93,10.22 06:55,10.22 16:25
37.2,79.8,439.8,291.2,61,93,10.22 07:00,10.22 16:30
37.2,86.6,428,284.4,62,93.2,10.22 07:05,10.22 16:35
37.2,80,414.4,264,64,94,10.22 07:10,10.22 16:40
36.8,74.4,400.4,244.6,65,94,10.22 07:15,10.22 16:45
36.6,73.8,390.8,232.4,66,94.2,10.22 07:20,10.22 16:50
36.4,70.8,399.6,225.4,67,95,10.22 07:25,10.22 16:55
36.4,91.8,389.8,235,68,95,10.22 07:30,10.22 17:00
36.2,106.8,379.2,238.8,70,95.2,10.22 07:35,10.22 17:05
36.2,108.4,368,229.2,71,96,10.22 07:40,10.22 17:10
36.2,103.4,367.8,217.2,72,96,10.22 07:45,10.22 17:15
36.2,90.6,343.2,190,73,96.2,10.22 07:50,10.22 17:20
36.2,78.4,329.4,167.2,74,97,10.22 07:55,10.22 17:25
35.8,83.4,327.4,165.4,76,97,10.22 08:00,10.22 17:30
35.4,72.4,385,160.4,77,97.2,10.22 08:05,10.22 17:35
35.4,69.8,331.4,139,78,98,10.22 08:10,10.22 17:40
35.4,62.2,298.6,118.4,79,98,10.22 08:15,10.22 17:45
35.2,56.6,241.8,97.2,80,98.2,10.22 08:20,10.22 17:50
35.2,45.8,219.6,78.4,81.8,99,10.22 08:25,10.22 17:55
35,41.2,195,66.2,83,99,10.22 08:30,10.22 18:00
34.8,35.8,168.2,53.8,84,99.2,10.22 08:35,10.22 18:05
34.8,23.2,116,33.4,85,100,10.22 08:40,10.22 18:10
34.6,15,70.2,21,86,100,10.22 08:45,10.22 18:15
34,11.2,34.6,14.2,87,100.2,10.22 08:50,10.22 18:20
34,6.8,11.4,7.6,89,101,10.22 08:55,10.22 18:25
34,0.8,0.2,0.8,90,101,10.22 09:00,10.22 18:30
33.4,0,0,0,91,101.2,10.22 09:05,10.22 18:35
33.2,0,0,0,92,102,10.22 09:10,10.22 18:40
32.8,0,0,0,93,102,10.22 09:15,10.22 18:45
32.6,0,0,0,94,102.2,10.22 09:20,10.22 18:50
31.8,0,0,0,96,103,10.22 09:25,10.22 18:55
31.6,0,0,0,97,103.2,10.22 09:30,10.22 19:00
31.2,0,0,0,98,104,10.22 09:35,10.22 19:05
31,0,0,0,99,104,10.22 09:40,10.22 19:10
30.4,0,0,0,100,104.2,10.22 09:45,10.22 19:15
29.8,0,0,0,101,105,10.22 09:50,10.22 19:20
29.8,0,0,0,102.8,105.2,10.22 09:55,10.22 19:25
29.6,0,0,0,104,106,10.22 10:00,10.22 19:30
29.4,0,0,0,105,106,10.22 10:05,10.22 19:35
29.4,0,0,0,106,107,10.22 10:10,10.22 19:40
29.2,0,0,0,107,107,10.22 10:15,10.22 19:45
29.2,0,0,0,108,108,10.22 10:20,10.22 19:50
29.2,0,0,0,109,108,10.22 10:25,10.22 19:55
29,0,0,0,110.8,108.2,10.22 10:30,10.22 20:00
29,0,0,0,112,109,10.22 10:35,10.22 20:05
29,0,0,0,113,110,10.22 10:40,10.22 20:10
29,0,0,0,114,110,10.22 10:45,10.22 20:15
28.8,0,0,0,115,111,10.22 10:50,10.22 20:20
28.8,0,0,0,116,111.2,10.22 10:55,10.22 20:25
28.6,0,0,0,117,112,10.22 11:00,10.22 20:30
28.8,0,0,0,118,112.2,10.22 11:05,10.22 20:35
28.8,0,0,0,119.8,113,10.22 11:10,10.22 20:40
29,0,0,0,121,114,10.22 11:15,10.22 20:45
29,0,0,0,122,114.2,10.22 11:20,10.22 20:50
29,0,0,0,123,115,10.22 11:25,10.22 20:55
29,0,0,0,124,116,10.22 11:30,10.22 21:00
29,0,0,0,125,116.2,10.22 11:35,10.22 21:05
29,0,0,0,126,117.2,10.22 11:40,10.22 21:10
29,0,0,0,127,118,10.22 11:45,10.22 21:15
29,0,0,0,128,119,10.22 11:50,10.22 21:20
