air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
34.14,132.4,537.4,517.6,44,74.2,10.22 05:35,10.22 15:05
34.12,139,534.2,515,45,75.2,10.22 05:40,10.22 15:10
34.08,138,531.2,505,46,76,10.22 05:45,10.22 15:15
34.08,128.6,528,486.2,47,77,10.22 05:50,10.22 15:20
34.04,127.8,524.6,476,48,78,10.22 05:55,10.22 15:25
33.98,122.8,521.2,461.4,49.8,78.2,10.22 06:00,10.22 15:30
33.9,117.4,517.4,446.4,50.8,79.2,10.22 06:05,10.22 15:35
33.84,109.4,513.4,428.2,52,80,10.22 06:10,10.22 15:40
33.72,112.2,509.4,420.8,53,81,10.22 06:15,10.22 15:45
33.64,110.2,505,408.4,54,82,10.22 06:20,10.22 15:50
33.58,109.2,500.8,397,55,82.2,10.22 06:25,10.22 15:55
33.48,110.8,496,388.4,56,83,10.22 06:30,10.22 16:00
33.42,100.6,491,367.4,57,84,10.22 06:35,10.22 16:05
33.34,119.8,463.6,364.4,58,84.2,10.22 06:40,10.22 16:10
33.22,114.8,420.2,329.6,59,85,10.22 06:45,10.22 16:15
33.18,101.4,453,325.6,60,86,10.22 06:50,10.22 16:20
33.08,85.2,468,309,61,86.2,10.22 06:55,10.22 16:25
33,105.2,461.6,318.2,62.8,87,10.22 07:00,10.22 16:30
32.86,113.4,471.6,323.4,63.8,88,10.22 07:05,10.22 16:35
32.76,97.2,447.6,288.2,65,88.2,10.22 07:10,10.22 16:40
32.62,76.4,439.6,256.8,66,89,10.22 07:15,10.22 16:45
32.52,77,431.6,246.8,67,89.2,10.22 07:20,10.22 16:50
32.38,78.4,422.8,236.8,68,90,10.22 07:25,10.22 16:55
32.26,73.8,413.4,221.6,69,91,10.22 07:30,10.22 17:00
32.14,89.2,420.6,231.8,70,91.2,10.22 07:35,10.22 17:05
32.02,110.2,415.8,243.8,71,92,10.22 07:40,10.22 17:10
31.9,81.8,575,256.4,72,92.2,10.22 07:45,10.22 17:15
31.8,91.6,472.8,226.4,73,93,10.22 07:50,10.22 17:20
31.66,86.2,447.4,205.6,74.8,94,10.22 07:55,10.22 17:25
31.54,79.6,387.8,176.4,75.8,94.2,10.22 08:00,10.22 17:30
31.44,59,434.8,159.4,77,95,10.22 08:05,10.22 17:35
31.3,50.2,413.2,137.8,78,95.2,10.22 08:10,10.22 17:40
31.18,45.8,390.4,121,79,96,10.22 08:15,10.22 17:45
31.04,51,365,115,80,97,10.22 08:20,10.22 17:50
30.94,39.4,337.4,91.8,81,97,10.22 08:25,10.22 17:55
30.8,35.2,306.6,77.2,82,98,10.22 08:30,10.22 18:00
30.7,37.6,272.4,70,83,98.2,10.22 08:35,10.22 18:05
30.56,30.6,228.4,53.2,84,99,10.22 08:40,10.22 18:10
30.44,28.4,150.2,41.4,85,100,10.22 08:45,10.22 18:15
30.3,16.2,52.6,20.8,86,100,10.22 08:50,10.22 18:20
30.2,10.2,25.2,12.4,87.8,101,10.22 08:55,10.22 18:25
30,5.8,8,6.4,88.8,101.2,10.22 09:00,10.22 18:30
29.68,1.6,0.6,1.6,90,102,10.22 09:05,10.22 18:35
29.4,0,0,0,91,103,10.22 09:10,10.22 18:40
29.08,0,0,0,92,103,10.22 09:15,10.22 18:45
28.78,0,0,0,93,104,10.22 09:20,10.22 18:50
28.48,0,0,0,94,104.2,10.22 09:25,10.22 18:55
28.18,0,0,0,95,105,10.22 09:30,10.22 19:00
27.88,0,0,0,96,106,10.22 09:35,10.22 19:05
27.58,0,0,0,97,106.2,10.22 09:40,10.22 19:10
27.26,0,0,0,98,107,10.22 09:45,10.22 19:15
26.98,0,0,0,99,108,10.22 09:50,10.22 19:20
26.66,0,0,0,100,108.2,10.22 09:55,10.22 19:25
26.46,0,0,0,101,109,10.22 10:00,10.22 19:30
26.3,0,0,0,102,110,10.22 10:05,10.22 19:35
26.16,0,0,0,103,110.2,10.22 10:10,10.22 19:40
25.98,0,0,0,104,111,10.22 10:15,10.22 19:45
25.84,0,0,0,105,112,10.22 10:20,10.22 19:50
25.68,0,0,0,106,112.2,10.22 10:25,10.22 19:55
25.56,0,0,0,107,113,10.22 10:30,10.22 20:00
25.4,0,0,0,108,114,10.22 10:35,10.22 20:05
25.26,0,0,0,109,115,10.22 10:40,10.22 20:10
25.08,0,0,0,110,115.2,10.22 10:45,10.22 20:15
24.94,0,0,0,111,116.2,10.22 10:50,10.22 20:20
24.78,0,0,0,112,117,10.22 10:55,10.22 20:25
24.64,0,0,0,113,118,10.22 11:00,10.22 20:30
24.46,0,0,0,114,119,10.22 11:05,10.22 20:35
24.28,0,0,0,115,120,10.22 11:10,10.22 20:40
24.08,0,0,0,116,120.2,10.22 11:15,10.22 20:45
23.94,0,0,0,117,121.2,10.22 11:20,10.22 20:50
23.74,0,0,0,118,122.2,10.22 11:25,10.22 20:55
23.6,0,0,0,119,123,10.22 11:30,10.22 21:00
23.4,0,0,0,120,124,10.22 11:35,10.22 21:05
23.26,0,0,0,121,125,10.22 11:40,10.22 21:10
23.06,0,0,0,121.8,126,10.22 11:45,10.22 21:15
22.88,0,0,0,122,127,10.22 11:50,10.22 21:20
22.7,0,0,0,123,128,10.22 11:55,10.22 21:25
22.58,0,0,0,124,129,10.22 12:00,10.22 21:30
22.44,0,0,0,125,130.2,10.22 12:05,10.22 21:35
22.34,0,0,0,126,131.2,10.22 12:10,10.22 21:40
22.28,0,0,0,126.8,133,10.22 12:15,10.22 21:45
22.16,0,0,0,127,134,10.22 12:20,10.22 21:50
22.04,0,0,0,128,135,10.22 12:25,10.22 21:55
21.94,0,0,0,129,136,10.22 12:30,10.22 22:00
21.82,0,0,0,130,137.2,10.22 12:35,10.22 22:05
21.7,0,0,0,130.8,139,10.22 12:40,10.22 22:10
21.64,0,0,0,131,140,10.22 12:45,10.22 22:15
21.54,0,0,0,132,141.2,10.22 12:50,10.22 22:20
21.4,0,0,0,132.8,143,10.22 12:55,10.22 22:25
21.36,0,0,0,133,144,10.22 13:00,10.22 22:30
21.28,0,0,0,134,146,10.22 13:05,10.22 22:35
21.22,0,0,0,134,147,10.22 13:10,10.22 22:40
21.18,0,0,0,135,149,10.22 13:15,10.22 22:45
