air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
25.78,275,579.4,812.2,22,37,10.23 03:35,10.23 13:05
25.82,258.6,539.8,757,22.8,39.2,10.23 03:40,10.23 13:10
25.86,241.4,506.4,706.6,23,42,10.23 03:45,10.23 13:15
25.92,244.2,545.2,742.2,24,44.2,10.23 03:50,10.23 13:20
25.98,253.4,601,799,25,47,10.23 03:55,10.23 13:25
26,273.2,652.2,861,25.8,49,10.23 04:00,10.23 13:30
26.06,212.6,768.8,901.2,26,51,10.23 04:05,10.23 13:35
26.08,279.4,608.2,819.8,27,53,10.23 04:10,10.23 13:40
26.1,206.8,610.6,745,28,55,10.23 04:15,10.23 13:45
26.16,195.6,634.4,750,29,56.2,10.23 04:20,10.23 13:50
26.16,188.2,662,761.8,30,58.2,10.23 04:25,10.23 13:55
26.24,232,705.8,837.4,31,60,10.23 04:30,10.23 14:00
26.24,146.2,884.2,897,32,61.2,10.23 04:35,10.23 14:05
26.3,150.2,871.6,882.6,33,62.2,10.23 04:40,10.23 14:10
26.32,145,877.4,874.4,34,64,10.23 04:45,10.23 14:15
26.34,230.4,669.8,780.2,35,65.2,10.23 04:50,10.23 14:20
26.4,161.6,686,717.8,36,66.2,10.23 04:55,10.23 14:25
26.4,188.6,683.4,736,37,68,10.23 05:00,10.23 14:30
26.38,203.6,699.8,756.8,38,69,10.23 05:05,10.23 14:35
26.4,199.2,684.6,732.4,39,70,10.23 05:10,10.23 14:40
26.44,194.2,681.6,717.6,40,71,10.23 05:15,10.23 14:45
26.42,191,734,746,41,72,10.23 05:20,10.23 14:50
26.42,144.6,833.2,764.6,42,73,10.23 05:25,10.23 14:55
26.42,140.4,835.2,751.8,43,74,10.23 05:30,10.23 15:00
26.42,139,831.2,736.8,44,75,10.23 05:35,10.23 15:05
26.4,129.2,846.4,726.8,45,76,10.23 05:40,10.23 15:10
26.44,141.4,809.6,702.2,46,76.2,10.23 05:45,10.23 15:15
26.46,164,739,665.8,47,77.2,10.23 05:50,10.23 15:20
26.44,167.4,715.6,643.6,48,78.2,10.23 05:55,10.23 15:25
26.42,164.6,710.2,627.4,49,79,10.23 06:00,10.23 15:30
26.4,159.6,713.8,614.4,50,80,10.23 06:05,10.23 15:35
26.34,152.8,722.2,602.4,51.8,80.2,10.23 06:10,10.23 15:40
26.3,154.2,701.6,581,52.8,81.2,10.23 06:15,10.23 15:45
26.26,159.8,671.6,557.8,54,82,10.23 06:20,10.23 15:50
26.24,171.6,620.4,530,55,83,10.23 06:25,10.23 15:55
26.16,170.4,604.8,510,56,83.2,10.23 06:30,10.23 16:00
26.14,164,608.2,496.4,57,84,10.23 06:35,10.23 16:05
26.1,151,635,487.6,58,85,10.23 06:40,10.23 16:10
26.06,143.6,641,472.6,59,85.2,10.23 06:45,10.23 16:15
26,127.2,680.8,465.6,60,86,10.23 06:50,10.23 16:20
25.98,115,704.2,453.6,61,87,10.23 06:55,10.23 16:25
25.96,124.6,650.2,425.8,62,87.2,10.23 07:00,10.23 16:30
25.94,125.2,618.8,401.8,63,88,10.23 07:05,10.23 16:35
25.9,127.2,580.4,376.6,64.8,89,10.23 07:10,10.23 16:40
25.92,122.4,559.8,353.2,66,89.2,10.23 07:15,10.23 16:45
25.88,115.6,561,337.4,67,90,10.23 07:20,10.23 16:50
25.86,111.4,553.6,320.2,68,90.2,10.23 07:25,10.23 16:55
