air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
34.8,197.6,655.2,691.4,41,78.2,10.22 05:30,10.22 15:00
34.8,240.4,551.2,648.2,42,79.2,10.22 05:35,10.22 15:05
34.8,231.8,553,633.8,43,80,10.22 05:40,10.22 15:10
34.8,229.2,539.8,614.8,44,81,10.22 05:45,10.22 15:15
34.8,159,741.8,678.2,45.8,81.2,10.22 05:50,10.22 15:20
34.8,127.2,807.6,681.2,47,82,10.22 05:55,10.22 15:25
35,104.6,856.8,679.8,48,83,10.22 06:00,10.22 15:30
34.8,114.6,824.6,655.8,49,83.2,10.22 06:05,10.22 15:35
34.8,100,851.2,646,50,84,10.22 06:10,10.22 15:40
34.6,93.8,858.4,631,51,84.2,10.22 06:15,10.22 15:45
34.6,127.4,752.2,586.4,52,85,10.22 06:20,10.22 15:50
34.6,130.4,687.8,539.4,53.8,86,10.22 06:25,10.22 15:55
34.6,131,584.8,469.2,55,86.2,10.22 06:30,10.22 16:00
34.6,178,458.2,435.4,56,87,10.22 06:35,10.22 16:05
34.6,187.4,475.6,447,57,87.2,10.22 06:40,10.22 16:10
34.6,163,508.6,431.6,58,88,10.22 06:45,10.22 16:15
34.4,173.2,447.4,401.8,59,88.2,10.22 06:50,10.22 16:20
34.2,124.4,489,365.8,60,89,10.22 06:55,10.22 16:25
34,159,408.4,353.6,61.8,89.2,10.22 07:00,10.22 16:30
34,166.6,379.6,340.8,63,90,10.22 07:05,10.22 16:35
33.8,157.6,381.6,325.8,64,90.2,10.22 07:10,10.22 16:40
33.8,132.4,407.2,304.2,65,91,10.22 07:15,10.22 16:45
33.8,137.6,396.4,298,66,91.2,10.22 07:20,10.22 16:50
33.8,126.8,406,284,67,92,10.22 07:25,10.22 16:55
33.6,124.6,396.2,270.2,68,92.2,10.22 07:30,10.22 17:00
33.6,100.2,425.4,248.6,69.8,93,10.22 07:35,10.22 17:05
33.6,85.2,414.6,222.2,71,93.2,10.22 07:40,10.22 17:10
33.6,59.2,403.4,185,72,94,10.22 07:45,10.22 17:15
33.6,61.2,391,175.6,73,94.2,10.22 07:50,10.22 17:20
33.6,74.8,377.8,178.2,74,95,10.22 07:55,10.22 17:25
33.6,71,363.4,163.6,75,95.2,10.22 08:00,10.22 17:30
33.4,56.8,347.8,138.6,76,96,10.22 08:05,10.22 17:35
33,57.6,330.8,129.2,77.8,96.2,10.22 08:10,10.22 17:40
33,59.4,312.4,121,79,97,10.22 08:15,10.22 17:45
33,49.8,309.4,104.8,80,97,10.22 08:20,10.22 17:50
33,39.4,351.2,94.8,81,98,10.22 08:25,10.22 17:55
33,39.2,260,75.4,82,98,10.22 08:30,10.22 18:00
33,35,194.6,58.2,83,99,10.22 08:35,10.22 18:05
32.8,29.2,134.6,42.4,84,99,10.22 08:40,10.22 18:10
32.8,26.4,102.2,35.2,85,100,10.22 08:45,10.22 18:15
32.6,17.4,69.8,23.8,86.8,100,10.22 08:50,10.22 18:20
32.6,9.6,28,12.2,88,101,10.22 08:55,10.22 18:25
32.6,5.8,7.8,6.6,89,101,10.22 09:00,10.22 18:30
32,0.2,0,0.2,90,102,10.22 09:05,10.22 18:35
32,0,0,0,91,102,10.22 09:10,10.22 18:40
31.6,0,0,0,92,103,10.22 09:15,10.22 18:45
31.6,0,0,0,93,103,10.22 09:20,10.22 18:50
31,0,0,0,94,104,10.22 09:25,10.22 18:55
31,0,0,0,95.8,104,10.22 09:30,10.22 19:00
30.6,0,0,0,97,105,10.22 09:35,10.22 19:05
30.2,0,0,0,98,105.2,10.22 09:40,10.22 19:10
30.2,0,0,0,99,106,10.22 09:45,10.22 19:15
30,0,0,0,100,106.2,10.22 09:50,10.22 19:20
29.6,0,0,0,101,107,10.22 09:55,10.22 19:25
29.2,0,0,0,102,107.2,10.22 10:00,10.22 19:30
29,0,0,0,103,108,10.22 10:05,10.22 19:35
29,0,0,0,104,109,10.22 10:10,10.22 19:40
29,0,0,0,105,109.2,10.22 10:15,10.22 19:45
29,0,0,0,106,110,10.22 10:20,10.22 19:50
28.8,0,0,0,107.8,110.2,10.22 10:25,10.22 19:55
28.8,0,0,0,108.8,111,10.22 10:30,10.22 20:00
28.8,0,0,0,110,112,10.22 10:35,10.22 20:05
28.8,0,0,0,111,112.2,10.22 10:40,10.22 20:10
28.4,0,0,0,112,113,10.22 10:45,10.22 20:15
28.4,0,0,0,113,114,10.22 10:50,10.22 20:20
28.4,0,0,0,114,114.2,10.22 10:55,10.22 20:25
28.4,0,0,0,115,115.2,10.22 11:00,10.22 20:30
28.2,0,0,0,116,116,10.22 11:05,10.22 20:35
28.2,0,0,0,117,117,10.22 11:10,10.22 20:40
28.2,0,0,0,118,117.2,10.22 11:15,10.22 20:45
28,0,0,0,119,118.2,10.22 11:20,10.22 20:50
27.6,0,0,0,120,119,10.22 11:25,10.22 20:55
27.6,0,0,0,121,120,10.22 11:30,10.22 21:00
