air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
36.6,86,903.8,759.2,42,82,10.22 05:35,10.22 15:05
36.6,85.4,899.4,743.4,43,82.2,10.22 05:40,10.22 15:10
36.4,87.4,888.8,725.4,44,83,10.22 05:45,10.22 15:15
36.4,101.8,850.2,699.8,45,83.2,10.22 05:50,10.22 15:20
36.4,110,822.6,676.4,46,84,10.22 05:55,10.22 15:25
36.4,84.6,875.8,675.2,48,85,10.22 06:00,10.22 15:30
36.4,101.6,826.4,646.4,49,85.2,10.22 06:05,10.22 15:35
36.2,136.4,724.4,602.6,50,86,10.22 06:10,10.22 15:40
36.2,169.6,612.4,554.2,51,86.2,10.22 06:15,10.22 15:45
36.2,115.4,763.8,582.6,52,87,10.22 06:20,10.22 15:50
36,126.8,711.8,551.4,53,87.2,10.22 06:25,10.22 15:55
35.8,158.4,602,507.2,55,88,10.22 06:30,10.22 16:00
35.8,157.8,535,458.8,56,88.2,10.22 06:35,10.22 16:05
35.8,144,555.6,447.6,57,89,10.22 06:40,10.22 16:10
35.8,136.8,554,430,58,89.2,10.22 06:45,10.22 16:15
35.8,139,520.2,405.2,59,90,10.22 06:50,10.22 16:20
35.8,128,553.6,401.4,60,90,10.22 06:55,10.22 16:25
35.6,134.6,567,404.4,61.8,91,10.22 07:00,10.22 16:30
35.4,102.2,669,409.2,63,91,10.22 07:05,10.22 16:35
35.2,94,681.8,394.2,64,91.2,10.22 07:10,10.22 16:40
35,91,672.4,375,65,92,10.22 07:15,10.22 16:45
35,90.6,649.8,353.2,66,92.2,10.22 07:20,10.22 16:50
35,83.6,658.4,336.8,67,93,10.22 07:25,10.22 16:55
35,82.8,636.6,316.4,68.8,93.2,10.22 07:30,10.22 17:00
35,89,576.6,289.4,70,94,10.22 07:35,10.22 17:05
35,87.6,547.8,267.6,71,94,10.22 07:40,10.22 17:10
34.8,74.2,585.2,255.4,72,95,10.22 07:45,10.22 17:15
34.8,73.2,554.4,233.8,73,95,10.22 07:50,10.22 17:20
34.8,75,503,210.8,74,95.2,10.22 07:55,10.22 17:25
34.4,78.6,433.2,187.2,75,96,10.22 08:00,10.22 17:30
34.4,79,356.2,161.4,77,96.2,10.22 08:05,10.22 17:35
34.4,70,374.4,149.2,78,97,10.22 08:10,10.22 17:40
34.2,54.4,447.4,140.6,79,97,10.22 08:15,10.22 17:45
34,55.2,354,116.2,80,98,10.22 08:20,10.22 17:50
33.8,49.4,338.8,101.2,81,98,10.22 08:25,10.22 17:55
33.4,42,324.6,84.8,82,98.2,10.22 08:30,10.22 18:00
33.4,33.4,299.6,67,83.8,99,10.22 08:35,10.22 18:05
33.2,30.6,234.4,52.4,85,99.2,10.22 08:40,10.22 18:10
33.2,26.6,110,36,86,100,10.22 08:45,10.22 18:15
33.2,18.4,48.6,22.6,87,100.2,10.22 08:50,10.22 18:20
33,10.8,19.6,12.4,88,101,10.22 08:55,10.22 18:25
32.6,3.8,3.4,4.2,89,101,10.22 09:00,10.22 18:30
32.4,0,0,0,90,102,10.22 09:05,10.22 18:35
32,0,0,0,91.8,102,10.22 09:10,10.22 18:40
31.8,0,0,0,93,102.2,10.22 09:15,10.22 18:45
31,0,0,0,94,103,10.22 09:20,10.22 18:50
31,0,0,0,95,103.2,10.22 09:25,10.22 18:55
30.8,0,0,0,96,104,10.22 09:30,10.22 19:00
30.2,0,0,0,97,104.2,10.22 09:35,10.22 19:05
30,0,0,0,98,105,10.22 09:40,10.22 19:10
29.8,0,0,0,99,105.2,10.22 09:45,10.22 19:15
29.6,0,0,0,100.8,106,10.22 09:50,10.22 19:20
29,0,0,0,102,106.2,10.22 09:55,10.22 19:25
29,0,0,0,103,107,10.22 10:00,10.22 19:30
28.8,0,0,0,104,108,10.22 10:05,10.22 19:35
29,0,0,0,105,108,10.22 10:10,10.22 19:40
29,0,0,0,106,109,10.22 10:15,10.22 19:45
29,0,0,0,107,109.2,10.22 10:20,10.22 19:50
28.8,0,0,0,108,110,10.22 10:25,10.22 19:55
28.6,0,0,0,109,110.2,10.22 10:30,10.22 20:00
28.6,0,0,0,110,111,10.22 10:35,10.22 20:05
28.6,0,0,0,111.8,112,10.22 10:40,10.22 20:10
28.6,0,0,0,113,112.2,10.22 10:45,10.22 20:15
28.6,0,0,0,114,113,10.22 10:50,10.22 20:20
28.6,0,0,0,115,114,10.22 10:55,10.22 20:25
28.4,0,0,0,116,114.2,10.22 11:00,10.22 20:30
28.4,0,0,0,117,115,10.22 11:05,10.22 20:35
28.2,0,0,0,118,116,10.22 11:10,10.22 20:40
28.2,0,0,0,119,116.2,10.22 11:15,10.22 20:45
28.2,0,0,0,120,117.2,10.22 11:20,10.22 20:50
28,0,0,0,121,118,10.22 11:25,10.22 20:55
28,0,0,0,122,119,10.22 11:30,10.22 21:00
27.8,0,0,0,123,120,10.22 11:35,10.22 21:05
27.8,0,0,0,124,120.2,10.22 11:40,10.22 21:10
27.8,0,0,0,125,121.2,10.22 11:45,10.22 21:15
27.8,0,0,0,126,122.2,10.22 11:50,10.22 21:20
27.6,0,0,0,127,123,10.22 11:55,10.22 21:25
27.6,0,0,0,128,124,10.22 12:00,10.22 21:30
27.4,0,0,0,129,125,10.22 12:05,10.22 21:35
27.4,0,0,0,130,126,10.22 12:10,10.22 21:40
27.4,0,0,0,131,127,10.22 12:15,10.22 21:45
27.2,0,0,0,132,128.2,10.22 12:20,10.22 21:50
26.8,0,0,0,133,129.2,10.22 12:25,10.22 21:55
26.8,0,0,0,133.8,130.2,10.22 12:30,10.22 22:00
26.8,0,0,0,134,132,10.22 12:35,10.22 22:05
26.8,0,0,0,135,133,10.22 12:40,10.22 22:10
26.6,0,0,0,136,134.2,10.22 12:45,10.22 22:15
26.4,0,0,0,137,136,10.22 12:50,10.22 22:20
26.2,0,0,0,138,137,10.22 12:55,10.22 22:25
26,0,0,0,138.8,138.2,10.22 13:00,10.22 22:30
26,0,0,0,139,140,10.22 13:05,10.22 22:35
26,0,0,0,140,141.2,10.22 13:10,10.22 22:40
26,0,0,0,141,143,10.22 13:15,10.22 22:45
25.8,0,0,0,141,144.2,10.22 13:20,10.22 22:50
26,0,0,0,142,146.2,10.22 13:25,10.22 22:55
25.8,0,0,0,142.8,148,10.22 13:30,10.22 23:00
25.6,0,0,0,143,150,10.22 13:35,10.22 23:05
25.6,0,0,0,144,152,10.22 13:40,10.22 23:10
25.6,0,0,0,144,153.2,10.22 13:45,10.22 23:15
25.6,0,0,0,145,155.2,10.22 13:50,10.22 23:20
25.4,0,0,0,145,157.2,10.22 13:55,10.22 23:25
25.4,0,0,0,146,159.2,10.22 14:00,10.22 23:30
25.4,0,0,0,146,161.2,10.22 14:05,10.22 23:35
25.4,0,0,0,146.8,164,10.22 14:10,10.22 23:40
25,0,0,0,147,166,10.22 14:15,10.22 23:45
25,0,0,0,147,168,10.22 14:20,10.22 23:50
25,0,0,0,147,170,10.22 14:25,10.22 23:55
24.8,0,0,0,147.8,173,10.22 14:30,10.23 0:00
24.8,0,0,0,147.8,175,10.22 14:35,10.23 0:05
24.8,0,0,0,147.8,177,10.22 14:40,10.23 0:10
24.8,0,0,0,147.8,179,10.22 14:45,10.23 0:15
24.8,0,0,0,147.8,-178,10.22 14:50,10.23 0:20
24.8,0,0,0,147.8,-176,10.22 14:55,10.23 0:25
24.8,0,0,0,147.8,-174,10.22 15:00,10.23 0:30
24.8,0,0,0,147.8,-171,10.22 15:05,10.23 0:35
24.8,0,0,0,147,-169,10.22 15:10,10.23 0:40
24.8,0,0,0,147,-167,10.22 15:15,10.23 0:45
24.6,0,0,0,146.8,-165,10.22 15:20,10.23 0:50
24.4,0,0,0,146,-163,10.22 15:25,10.23 0:55
24.4,0,0,0,146,-161,10.22 15:30,10.23 1:00
24.4,0,0,0,145.8,-158.2,10.22 15:35,10.23 1:05
24.4,0,0,0,145,-156.2,10.22 15:40,10.23 1:10
24.4,0,0,0,144.8,-154.2,10.22 15:45,10.23 1:15
24.4,0,0,0,144,-153,10.22 15:50,10.23 1:20
24.4,0,0,0,143.8,-151,10.22 15:55,10.23 1:25
24.2,0,0,0,143,-149,10.22 16:00,10.23 1:30
24.4,0,0,0,142,-147,10.22 16:05,10.23 1:35
24.4,0,0,0,141.8,-145.2,10.22 16:10,10.23 1:40
24.4,0,0,0,141,-144,10.22 16:15,10.23 1:45
24.4,0,0,0,140,-142,10.22 16:20,10.23 1:50
24.4,0,0,0,139.8,-141,10.22 16:25,10.23 1:55
24.4,0,0,0,139,-139,10.22 16:30,10.23 2:00
24.2,0,0,0,138,-138,10.22 16:35,10.23 2:05
24.2,0,0,0,137,-136.2,10.22 16:40,10.23 2:10
24.2,0,0,0,136.8,-135,10.22 16:45,10.23 2:15
24,0,0,0,135.8,-134,10.22 16:50,10.23 2:20
23.8,0,0,0,135,-132.2,10.22 16:55,10.23 2:25
23.8,0,0,0,134,-131,10.22 17:00,10.23 2:30
23.8,0,0,0,133,-130,10.22 17:05,10.23 2:35
24,0,0,0,132,-129,10.22 17:10,10.23 2:40
24,0,0,0,131,-128,10.22 17:15,10.23 2:45
24,0,0,0,130,-127,10.22 17:20,10.23 2:50
24,0,0,0,129,-126,10.22 17:25,10.23 2:55
24,0,0,0,128.8,-125,10.22 17:30,10.23 3:00
24,0,0,0,127.8,-124,10.22 17:35,10.23 3:05
24,0,0,0,126.8,-123,10.22 17:40,10.23 3:10
24,0,0,0,125.8,-122,10.22 17:45,10.23 3:15
24,0,0,0,124.8,-121,10.22 17:50,10.23 3:20
24.2,0,0,0,123.8,-120,10.22 17:55,10.23 3:25
24,0,0,0,122.8,-119.2,10.22 18:00,10.23 3:30
24,0,0,0,121.8,-118.2,10.22 18:05,10.23 3:35
24,0,0,0,120.8,-118,10.22 18:10,10.23 3:40
24,0,0,0,119.8,-117,10.22 18:15,10.23 3:45
24,0,0,0,118,-116,10.22 18:20,10.23 3:50
23.8,0,0,0,117,-115.2,10.22 18:25,10.23 3:55
23.8,0,0,0,116,-115,10.22 18:30,10.23 4:00
23.6,0,0,0,115,-114,10.22 18:35,10.23 4:05
23.2,0,0,0,114,-113.2,10.22 18:40,10.23 4:10
23.2,0,0,0,113,-113,10.22 18:45,10.23 4:15
23.2,0,0,0,112,-112,10.22 18:50,10.23 4:20
23,0,0,0,111,-111.2,10.22 18:55,10.23 4:25
23,0,0,0,110,-111,10.22 19:00,10.23 4:30
23,0,0,0,109,-110.2,10.22 19:05,10.23 4:35
23,0,0,0,108,-110,10.22 19:10,10.23 4:40
23,0,0,0,106.8,-109,10.22 19:15,10.23 4:45
23,0,0,0,105.8,-108.2,10.22 19:20,10.23 4:50
23,0,0,0,104,-108,10.22 19:25,10.23 4:55
23,0,0,0,103,-107.2,10.22 19:30,10.23 5:00
23,0,0,0,102,-107,10.22 19:35,10.23 5:05
22.8,0,0,0,101,-106.2,10.22 19:40,10.23 5:10
22.8,0,0,0,100,-106,10.22 19:45,10.23 5:15
22.8,0,0,0,99,-105.2,10.22 19:50,10.23 5:20
22.6,0,0,0,98,-105,10.22 19:55,10.23 5:25
22.8,0,0,0,96.8,-104.2,10.22 20:00,10.23 5:30
22.8,0,0,0,95,-104,10.22 20:05,10.23 5:35
22.8,0,0,0,94,-103.2,10.22 20:10,10.23 5:40
23,0,0,0,93,-103,10.22 20:15,10.23 5:45
23,0,0,0,92,-102.2,10.22 20:20,10.23 5:50
23,0,0,0,91,-102,10.22 20:25,10.23 5:55
23,1.2,1.8,1.2,90,-101.2,10.22 20:30,10.23 6:00
23,8.2,23.8,10.4,89,-101,10.22 20:35,10.23 6:05
23,15.6,73.8,22,87.8,-101,10.22 20:40,10.23 6:10
23.2,21.6,150.6,34.8,86,-100,10.22 20:45,10.23 6:15
23.2,26.2,273.4,50.4,85,-100,10.22 20:50,10.23 6:20
23.2,34.2,276.8,63,84,-99.2,10.22 20:55,10.23 6:25
23.4,36.6,365.4,81.6,83,-99,10.22 21:00,10.23 6:30
24,40.2,415.2,99.6,82,-98.2,10.22 21:05,10.23 6:35
24.2,47.8,411,114.8,80.8,-98,10.22 21:10,10.23 6:40
24.6,59.2,369,126.8,79,-97.2,10.22 21:15,10.23 6:45
25.2,59.8,434.6,148.4,78,-97,10.22 21:20,10.23 6:50
25.6,56,529,173.8,77,-97,10.22 21:25,10.23 6:55
26.2,59.2,551.8,193,76,-96.2,10.22 21:30,10.23 7:00
26.4,63.2,569.8,212,75,-96,10.22 21:35,10.23 7:05
26.8,58.2,638,237.6,74,-95.2,10.22 21:40,10.23 7:10
27.2,60.2,657.8,257.8,72.8,-95,10.22 21:45,10.23 7:15
27.8,62.4,676,278.4,71,-95,10.22 21:50,10.23 7:20
28.2,67.6,677.6,297.2,70,-94,10.22 21:55,10.23 7:25
28.6,77.8,653.2,311.6,69,-94,10.22 22:00,10.23 7:30
28.6,95.6,597.6,320.6,68,-93.2,10.22 22:05,10.23 7:35
28.8,99.8,607.4,339.8,67,-93,10.22 22:10,10.23 7:40
29.4,96.2,648.2,364.6,65.8,-92.2,10.22 22:15,10.23 7:45
29.6,91,691.6,390,64,-92,10.22 22:20,10.23 7:50
29.8,96.8,687.4,406.2,63,-91.2,10.22 22:25,10.23 7:55
29.8,97.8,702.2,426.8,62,-91,10.22 22:30,10.23 8:00
30.2,102,704.6,444.8,61,-91,10.22 22:35,10.23 8:05
30.2,87.6,772,476.4,60,-90.2,10.22 22:40,10.23 8:10
30.4,84.4,795.4,499.2,58.8,-90,10.22 22:45,10.23 8:15
31,86.2,802.2,518.2,57,-89.2,10.22 22:50,10.23 8:20
31,96.2,784.2,532,56,-89,10.22 22:55,10.23 8:25
31.2,83.8,832.4,559.8,55,-88.2,10.22 23:00,10.23 8:30
31.4,94,814,573,54,-88,10.22 23:05,10.23 8:35
31.6,87.8,840.4,596.4,53,-87.2,10.22 23:10,10.23 8:40
31.6,86.8,852.4,616,51.8,-87,10.22 23:15,10.23 8:45
31.8,87.8,858.6,634.6,50,-86.2,10.22 23:20,10.23 8:50
31.8,88.6,864,652.4,49,-86,10.22 23:25,10.23 8:55
32,89.6,869.6,670.2,48,-85.2,10.22 23:30,10.23 9:00
32.2,90.4,875,687.4,47,-85,10.22 23:35,10.23 9:05
32.2,91.4,879.8,704.2,46,-84.2,10.22 23:40,10.23 9:10
32.2,91.6,884.6,721,45,-83.2,10.22 23:45,10.23 9:15
32.4,92.4,889.4,737.6,43.8,-83,10.22 23:50,10.23 9:20
32.4,93.2,893.6,753.8,42,-82.2,10.22 23:55,10.23 9:25
32.4,94,898.4,770.2,41,-82,10.23 00:00,10.23 9:30
32.8,94.6,902.6,785.8,40,-81,10.23 00:05,10.23 9:35
32.8,95.4,906,801,39,-80.2,10.23 00:10,10.23 9:40
33,95.8,909.8,815.6,38,-80,10.23 00:15,10.23 9:45
33.6,96.4,913,830,36.8,-79,10.23 00:20,10.23 9:50
33.8,97.2,916.4,843.6,35,-78.2,10.23 00:25,10.23 9:55
33.8,97.6,919.6,857.2,34,-77.2,10.23 00:30,10.23 10:00
33.8,114,891.2,860.6,33,-76.2,10.23 00:35,10.23 10:05
34.2,110,903.2,875.8,32,-75.2,10.23 00:40,10.23 10:10
34.2,98.8,928.2,895,31,-75,10.23 00:45,10.23 10:15
34.4,99.2,930.8,907,30,-74,10.23 00:50,10.23 10:20
34.6,105.2,922.8,915,29,-72.2,10.23 00:55,10.23 10:25
34.8,108,921,924.4,27.8,-71.2,10.23 01:00,10.23 10:30
34.8,105,929.4,937,26.8,-70.2,10.23 01:05,10.23 10:35
35.2,113.8,916.6,942,25,-69.2,10.23 01:10,10.23 10:40
35.2,128.4,893.2,942.4,24,-67.2,10.23 01:15,10.23 10:45
35.4,126,900.8,953.4,23,-66.2,10.23 01:20,10.23 10:50
35.4,126,903.2,962.2,22,-64.2,10.23 01:25,10.23 10:55
35.6,114,926.2,978,21,-63,10.23 01:30,10.23 11:00
35.8,104.2,945,991.6,20,-61,10.23 01:35,10.23 11:05
35.8,110.4,936.8,995.6,19,-59,10.23 01:40,10.23 11:10
36,109.8,939.4,1002.6,18,-56.2,10.23 01:45,10.23 11:15
36,106,947.6,1011,17,-54.2,10.23 01:50,10.23 11:20
36,105.4,949.8,1017.2,16,-51.2,10.23 01:55,10.23 11:25
36.2,104.8,951.8,1022.6,15,-48.2,10.23 02:00,10.23 11:30
36.2,102.8,956,1028.6,14.8,-44.2,10.23 02:05,10.23 11:35
36.4,110.4,945,1028.6,13.8,-40.2,10.23 02:10,10.23 11:40
36.4,103.2,957.8,1036.2,13,-36.2,10.23 02:15,10.23 11:45
36.4,108.8,949.2,1036,12,-31.2,10.23 02:20,10.23 11:50
36.4,108.2,951,1039.2,12,-26.2,10.23 02:25,10.23 11:55
36.6,103,959.6,1043.8,11,-21,10.23 02:30,10.23 12:00
36.6,118.8,934,1035.8,11,-14.2,10.23 02:35,10.23 12:05
36.8,118.4,935.2,1037,10.8,-8,10.23 02:40,10.23 12:10
36.8,113.6,942.8,1040,10.8,-1.8,10.23 02:45,10.23 12:15
36.8,109.2,950,1042.6,10.8,5,10.23 02:50,10.23 12:20
36.8,104.6,957.2,1044.6,11,11.2,10.23 02:55,10.23 12:25
36.8,128.2,917.6,1028.4,11,18,10.23 03:00,10.23 12:30
36.8,108.6,949.8,1039.2,11.8,24,10.23 03:05,10.23 12:35
36.8,127.4,917.6,1024.8,12,29.2,10.23 03:10,10.23 12:40
36.8,108.6,948,1033.6,12.8,34.2,10.23 03:15,10.23 12:45
37,148.8,878.2,1003.4,13,38.2,10.23 03:20,10.23 12:50
37.2,180.8,815,970.6,14,43.2,10.23 03:25,10.23 12:55
37.2,138.6,893.8,1002.4,15,46.2,10.23 03:30,10.23 13:00
37.4,132,904,1001.6,16,49.2,10.23 03:35,10.23 13:05
37.6,156.2,858.2,977.8,17,52.2,10.23 03:40,10.23 13:10
37.8,153.2,861.6,974.4,17.8,55.2,10.23 03:45,10.23 13:15
37.8,155.2,855.6,966.2,18.8,58,10.23 03:50,10.23 13:20
37.8,161.6,841,953.6,19.8,60.2,10.23 03:55,10.23 13:25
37.8,154.2,853,952.4,20.8,62.2,10.23 04:00,10.23 13:30
37.8,128.6,898.4,963.4,22,64,10.23 04:05,10.23 13:35
37.8,128.2,896.2,955,23,65.2,10.23 04:10,10.23 13:40
37.8,136.8,877.2,940,24,67.2,10.23 04:15,10.23 13:45
37.8,151,849.4,921.2,25,68.2,10.23 04:20,10.23 13:50
37.8,187,773,881.8,26,70,10.23 04:25,10.23 13:55
37.8,143.2,857.6,906.8,27,71.2,10.23 04:30,10.23 14:00
37.8,109.6,915.2,916.8,28,72.2,10.23 04:35,10.23 14:05
37.8,108.6,914.4,906.2,29,73.2,10.23 04:40,10.23 14:10
37.8,141.6,849,874,30,74.2,10.23 04:45,10.23 14:15
37.8,118.2,888.4,876,31.8,75.2,10.23 04:50,10.23 14:20
37.8,113.2,894.6,866.4,33,76.2,10.23 04:55,10.23 14:25
