air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
28.52,99,494.2,425.2,49,74.2,10.22 05:40,10.22 15:10
28.48,96,491.6,413.8,50,75.2,10.22 05:45,10.22 15:15
28.44,116.2,488.6,425.8,51,76,10.22 05:50,10.22 15:20
28.42,136.2,485.8,437.2,52,77,10.22 05:55,10.22 15:25
28.38,186.6,386.6,420.6,53,78,10.22 06:00,10.22 15:30
28.38,204.6,337.8,404.2,54,79,10.22 06:05,10.22 15:35
28.34,161.4,440.8,415.6,55,79.2,10.22 06:10,10.22 15:40
28.3,143.2,446.4,393.6,56,80.2,10.22 06:15,10.22 15:45
28.28,141.4,439.6,381.2,57,81,10.22 06:20,10.22 15:50
28.26,153,385,357.4,58,82,10.22 06:25,10.22 15:55
28.24,146,371.4,337.4,59,83,10.22 06:30,10.22 16:00
28.2,144.4,344.2,316.2,60,83.2,10.22 06:35,10.22 16:05
28.2,150.6,349.4,319.6,61,84,10.22 06:40,10.22 16:10
28.14,162.6,308,306.6,62,85,10.22 06:45,10.22 16:15
28.1,149.4,298.6,284.2,63,85.2,10.22 06:50,10.22 16:20
28.1,151.6,284.4,275.2,64,86.2,10.22 06:55,10.22 16:25
28.04,139.2,279,256,65,87,10.22 07:00,10.22 16:30
27.98,124.2,286.8,239.2,66,88,10.22 07:05,10.22 16:35
27.86,126.4,280.6,234.2,67,88.2,10.22 07:10,10.22 16:40
27.8,125.6,276.8,227.4,68,89,10.22 07:15,10.22 16:45
27.72,106.6,286.2,206.8,69,90,10.22 07:20,10.22 16:50
27.66,116.6,297.4,215.8,70.8,90.2,10.22 07:25,10.22 16:55
27.58,122.2,266.4,206,71.8,91,10.22 07:30,10.22 17:00
27.52,116.8,235.2,187.2,73,92,10.22 07:35,10.22 17:05
27.44,114.2,253,185.2,74,92.2,10.22 07:40,10.22 17:10
27.38,103.8,289.8,180.2,75,93,10.22 07:45,10.22 17:15
27.26,89.6,273.4,156.6,76,94,10.22 07:50,10.22 17:20
27.2,72,293.4,138.8,77,94.2,10.22 07:55,10.22 17:25
27.1,81.8,220.6,128,78,95,10.22 08:00,10.22 17:30
26.92,69.6,242.8,116.4,79,96,10.22 08:05,10.22 17:35
26.74,57.4,270.4,104.6,80,96.2,10.22 08:10,10.22 17:40
26.54,49,271.2,90.8,81,97,10.22 08:15,10.22 17:45
26.38,49,141,68.4,82,98,10.22 08:20,10.22 17:50
26.2,36.6,135.2,52.6,83,98,10.22 08:25,10.22 17:55
26.02,35.2,122.2,47.6,84,99,10.22 08:30,10.22 18:00
25.84,27.4,126.4,38.4,85,99.2,10.22 08:35,10.22 18:05
25.68,21.8,75.2,28.4,86,100,10.22 08:40,10.22 18:10
25.48,14.2,38.2,17.6,87,101,10.22 08:45,10.22 18:15
25.3,8.4,9.2,9,88,101.2,10.22 08:50,10.22 18:20
25.12,2.8,1.6,2.8,89,102,10.22 08:55,10.22 18:25
24.86,0,0,0,90,103,10.22 09:00,10.22 18:30
24.52,0,0,0,91,103.2,10.22 09:05,10.22 18:35
24.14,0,0,0,92,104,10.22 09:10,10.22 18:40
23.78,0,0,0,93,105,10.22 09:15,10.22 18:45
23.44,0,0,0,94,106,10.22 09:20,10.22 18:50
23.08,0,0,0,95.8,106.2,10.22 09:25,10.22 18:55
22.7,0,0,0,96.8,107,10.22 09:30,10.22 19:00
22.34,0,0,0,97.8,108,10.22 09:35,10.22 19:05
22,0,0,0,98.8,108.2,10.22 09:40,10.22 19:10
21.64,0,0,0,99.8,109,10.22 09:45,10.22 19:15
21.26,0,0,0,100.8,110,10.22 09:50,10.22 19:20
20.92,0,0,0,101,111,10.22 09:55,10.22 19:25
20.7,0,0,0,102,111.2,10.22 10:00,10.22 19:30
20.54,0,0,0,103,112,10.22 10:05,10.22 19:35
20.44,0,0,0,104,113,10.22 10:10,10.22 19:40
20.28,0,0,0,105,114,10.22 10:15,10.22 19:45
20.2,0,0,0,106,114.2,10.22 10:20,10.22 19:50
20.04,0,0,0,107,115.2,10.22 10:25,10.22 19:55
19.96,0,0,0,108,116,10.22 10:30,10.22 20:00
19.8,0,0,0,109,117,10.22 10:35,10.22 20:05
19.72,0,0,0,110,118,10.22 10:40,10.22 20:10
19.56,0,0,0,111,119,10.22 10:45,10.22 20:15
19.46,0,0,0,112,119.2,10.22 10:50,10.22 20:20
19.3,0,0,0,113,120.2,10.22 10:55,10.22 20:25
19.24,0,0,0,114,121.2,10.22 11:00,10.22 20:30
19.14,0,0,0,114.8,122.2,10.22 11:05,10.22 20:35
19.06,0,0,0,115.8,123,10.22 11:10,10.22 20:40
18.94,0,0,0,116,124,10.22 11:15,10.22 20:45
18.9,0,0,0,117,125,10.22 11:20,10.22 20:50
18.8,0,0,0,118,126,10.22 11:25,10.22 20:55
18.74,0,0,0,119,127,10.22 11:30,10.22 21:00
18.64,0,0,0,120,128,10.22 11:35,10.22 21:05
18.6,0,0,0,120.8,129,10.22 11:40,10.22 21:10
18.48,0,0,0,121.8,130.2,10.22 11:45,10.22 21:15
18.4,0,0,0,122,131.2,10.22 11:50,10.22 21:20
18.3,0,0,0,123,132.2,10.22 11:55,10.22 21:25
18.26,0,0,0,124,134,10.22 12:00,10.22 21:30
18.2,0,0,0,124.8,135,10.22 12:05,10.22 21:35
18.16,0,0,0,125,136,10.22 12:10,10.22 21:40
18.14,0,0,0,126,137.2,10.22 12:15,10.22 21:45
18.06,0,0,0,127,138.2,10.22 12:20,10.22 21:50
18,0,0,0,127,140,10.22 12:25,10.22 21:55
17.98,0,0,0,128,141,10.22 12:30,10.22 22:00
17.92,0,0,0,129,142.2,10.22 12:35,10.22 22:05
17.84,0,0,0,129,144,10.22 12:40,10.22 22:10
17.82,0,0,0,130,145,10.22 12:45,10.22 22:15
17.78,0,0,0,130.8,147,10.22 12:50,10.22 22:20
17.72,0,0,0,131,148,10.22 12:55,10.22 22:25
17.68,0,0,0,131.8,149.2,10.22 13:00,10.22 22:30
17.64,0,0,0,132,151,10.22 13:05,10.22 22:35
17.6,0,0,0,132.8,152.2,10.22 13:10,10.22 22:40
17.52,0,0,0,133,154,10.22 13:15,10.22 22:45
17.48,0,0,0,133.8,156,10.22 13:20,10.22 22:50
17.44,0,0,0,134,157,10.22 13:25,10.22 22:55
17.4,0,0,0,134.8,159,10.22 13:30,10.22 23:00
17.36,0,0,0,135,160.2,10.22 13:35,10.22 23:05
17.32,0,0,0,135,162,10.22 13:40,10.22 23:10
17.24,0,0,0,135.8,164,10.22 13:45,10.22 23:15
17.2,0,0,0,135.8,166,10.22 13:50,10.22 23:20
17.16,0,0,0,136,167,10.22 13:55,10.22 23:25
17.12,0,0,0,136,169,10.22 14:00,10.22 23:30
17.06,0,0,0,136,171,10.22 14:05,10.22 23:35
17.02,0,0,0,136.8,173,10.22 14:10,10.22 23:40
16.94,0,0,0,136.8,174,10.22 14:15,10.22 23:45
16.88,0,0,0,136.8,176,10.22 14:20,10.22 23:50
16.84,0,0,0,136.8,178,10.22 14:25,10.22 23:55
16.74,0,0,0,137,180,10.22 14:30,10.23 0:00
16.72,0,0,0,137,-178,10.22 14:35,10.23 0:05
16.64,0,0,0,136.8,-177,10.22 14:40,10.23 0:10
16.58,0,0,0,136.8,-175,10.22 14:45,10.23 0:15
16.54,0,0,0,136.8,-173,10.22 14:50,10.23 0:20
16.48,0,0,0,136,-171,10.22 14:55,10.23 0:25
16.42,0,0,0,136,-170,10.22 15:00,10.23 0:30
16.34,0,0,0,136,-168,10.22 15:05,10.23 0:35
16.3,0,0,0,136,-166,10.22 15:10,10.23 0:40
16.22,0,0,0,135.8,-164,10.22 15:15,10.23 0:45
16.16,0,0,0,135,-163,10.22 15:20,10.23 0:50
16.1,0,0,0,135,-161,10.22 15:25,10.23 0:55
16.06,0,0,0,134.8,-159,10.22 15:30,10.23 1:00
16,0,0,0,134,-158,10.22 15:35,10.23 1:05
15.94,0,0,0,133.8,-156,10.22 15:40,10.23 1:10
15.86,0,0,0,133,-155,10.22 15:45,10.23 1:15
15.82,0,0,0,133,-153,10.22 15:50,10.23 1:20
15.74,0,0,0,132,-151.2,10.22 15:55,10.23 1:25
15.72,0,0,0,132,-150,10.22 16:00,10.23 1:30
15.7,0,0,0,131,-148.2,10.22 16:05,10.23 1:35
15.7,0,0,0,130.8,-147,10.22 16:10,10.23 1:40
15.66,0,0,0,130,-146,10.22 16:15,10.23 1:45
15.68,0,0,0,129.8,-144,10.22 16:20,10.23 1:50
15.66,0,0,0,129,-143,10.22 16:25,10.23 1:55
15.62,0,0,0,128,-142,10.22 16:30,10.23 2:00
15.6,0,0,0,127.8,-140,10.22 16:35,10.23 2:05
15.62,0,0,0,127,-139,10.22 16:40,10.23 2:10
15.58,0,0,0,126,-138,10.22 16:45,10.23 2:15
15.58,0,0,0,125.8,-136.2,10.22 16:50,10.23 2:20
15.56,0,0,0,124.8,-135,10.22 16:55,10.23 2:25
15.52,0,0,0,124,-134,10.22 17:00,10.23 2:30
15.46,0,0,0,123,-133,10.22 17:05,10.23 2:35
15.4,0,0,0,122,-132,10.22 17:10,10.23 2:40
15.32,0,0,0,121.8,-131,10.22 17:15,10.23 2:45
15.22,0,0,0,121,-130,10.22 17:20,10.23 2:50
15.18,0,0,0,120,-129,10.22 17:25,10.23 2:55
15.12,0,0,0,119,-127.2,10.22 17:30,10.23 3:00
15.08,0,0,0,118,-126.2,10.22 17:35,10.23 3:05
14.98,0,0,0,117.8,-125.2,10.22 17:40,10.23 3:10
14.9,0,0,0,116.8,-124.2,10.22 17:45,10.23 3:15
14.84,0,0,0,116,-124,10.22 17:50,10.23 3:20
14.78,0,0,0,115,-123,10.22 17:55,10.23 3:25
14.74,0,0,0,114,-122,10.22 18:00,10.23 3:30
14.7,0,0,0,113,-121,10.22 18:05,10.23 3:35
14.7,0,0,0,112,-120,10.22 18:10,10.23 3:40
14.64,0,0,0,111,-119,10.22 18:15,10.23 3:45
14.62,0,0,0,110,-118,10.22 18:20,10.23 3:50
14.58,0,0,0,109,-117.2,10.22 18:25,10.23 3:55
14.6,0,0,0,108,-116.2,10.22 18:30,10.23 4:00
14.56,0,0,0,107.8,-116,10.22 18:35,10.23 4:05
14.54,0,0,0,106.8,-115,10.22 18:40,10.23 4:10
14.48,0,0,0,105.8,-114,10.22 18:45,10.23 4:15
14.48,0,0,0,104.8,-113,10.22 18:50,10.23 4:20
